q,truth,lpbound,pairs,triples,lb,atoms,attrs,t_lp,t_p,t_tr,t_lb,t_t,terr
stats.45,6272.0,1503127509.4019914,423315815.9999994,138974.37317721563,1197.0,4.0,5.0,0.1103026866912841,0.2886900901794433,0.8692376613616943,0.1846101284027099,0.0219707489013671,
stats.46,454094.0,88163465.2813055,58650811.53694075,8394975.999999998,24818.0,5.0,6.0,0.1337265968322754,0.0688259601593017,1.4857492446899414,0.0380682945251464,0.0450596809387207,
stats.47,60601561.0,6636911638.313345,2216310004.9999986,297779105.0000009,65291.0,5.0,6.0,0.0532031059265136,0.1283750534057617,1.3753926753997805,0.1117084026336669,0.4175519943237304,
stats.48,224.0,104257313050.50208,69338230344.48128,426240.00000000064,36.0,5.0,6.0,0.1320829391479492,0.3442592620849609,2.050786018371582,0.2359318733215332,0.0344560146331787,
stats.49,18597973.0,69912675196.91962,53063661882.73188,2479704192.0000005,13258.0,5.0,6.0,0.0495450496673584,0.0866556167602539,0.8645353317260742,0.07021164894104,3.066204309463501,
stats.50,9812.0,56695369811.39493,10632683328.000011,7458495.000000001,1057.0,5.0,6.0,0.1072919368743896,0.2869653701782226,2.0582263469696045,0.2618260383605957,0.0522654056549072,
stats.51,86914174.0,4047721465066.998,1270826893600.0007,61551073387.35518,126516.0,5.0,6.0,0.2044615745544433,0.3133456707000732,2.4315054416656494,0.1520452499389648,0.9736878871917723,
stats.52,228748307.0,2253101184297.7573,1033805526011.9968,29033630699.999817,96157.0,5.0,6.0,0.0923004150390625,0.270693302154541,2.495767593383789,0.243420124053955,0.938356637954712,
stats.53,913441.0,63211169.97364128,15188903.999999972,11687097.212598812,87390.0,5.0,7.0,0.0965652465820312,0.0791079998016357,1.2266521453857422,0.0380771160125732,0.0478568077087402,
stats.54,4801.0,22420553.15609436,4699080.000000007,137250.0,1338.0,5.0,7.0,0.0586013793945312,0.0397508144378662,0.1689939498901367,0.0150034427642822,0.0154521465301513,
stats.55,14413.0,3384761855.999997,1954765567.9999995,25489750.000000007,1190.0,5.0,7.0,0.1249380111694336,0.267514705657959,4.725869655609131,0.1995525360107422,0.0327470302581787,
stats.56,15887370.0,335061504.00000006,193504512.0000001,32262911.99999992,148381.0,5.0,7.0,0.1522386074066162,0.3782250881195068,2.2559478282928467,0.2039475440979004,0.182497501373291,
stats.57,5091.0,13647168.00000002,7881503.999999994,1204751.9999999974,3660.0,5.0,7.0,0.0905914306640625,0.1115775108337402,1.13348388671875,0.0595700740814209,0.0354881286621093,
stats.58,,14573439083840.035,14385724997280.04,192963534399.9997,251659.0,6.0,8.0,0.1874070167541504,0.4849030971527099,7.0485687255859375,0.2310571670532226,120.04744243621826,timeout
stats.59,88962973.0,1611691183592.8904,1611691183592.8904,40506364807.99989,44821.0,6.0,8.0,0.1598718166351318,0.3973865509033203,3.177123785018921,0.2127795219421386,1.3604345321655271,
stats.60,11947976.0,6768043246.848069,4448020706.813727,567880056.0000001,62566.0,6.0,8.0,0.1781907081604004,0.1506924629211425,5.440939903259277,0.0919835567474365,0.0979273319244384,
