q,atoms,attrs,lpbound,t_lp,pairs,t_p,lb,t_lb,truth,t_t,terr
jobrange.195,3,4,2363.9999999999986,0.27699851989746094,4.0,0.11379623413085938,3,0.08266162872314453,3.0,0.03221392631530762,
jobrange.196,3,4,455719.7500003126,0.6901323795318604,3589.999999999998,0.2990868091583252,2664,0.21371912956237793,2664.0,0.058016300201416016,
jobrange.197,3,4,1335.9999999999998,0.3581349849700928,156.00000000000003,0.18928265571594238,102,0.21679425239562988,102.0,0.06315755844116211,
jobrange.198,3,4,2059.9999999999995,0.23691964149475098,16.0,0.11117887496948242,6,0.08186197280883789,6.0,0.022929906845092773,
jobrange.199,3,4,1175.9999999999993,0.30207133293151855,546.0,0.16880011558532715,526,0.23902034759521484,526.0,0.07232117652893066,
jobrange.200,3,4,2821.9999999999973,0.4723246097564697,160.00000000000023,0.15971040725708008,131,0.18197894096374512,131.0,0.08956408500671387,
jobrange.201,3,4,376.00000000000006,0.44237637519836426,4.0,0.13434576988220215,3,0.08953690528869629,3.0,0.04402875900268555,
jobrange.202,3,4,107.99999999999997,0.4422593116760254,4.0,0.1328270435333252,3,0.08968162536621094,3.0,0.05848073959350586,
jobrange.203,3,4,4523929.999999991,0.963463544845581,989172.0000000003,0.3640596866607666,854464,0.2565281391143799,854464.0,0.04894208908081055,
jobrange.204,3,4,12496.000000000002,0.183577299118042,71.99999999999999,0.08925580978393555,39,0.06708765029907227,39.0,0.02959275245666504,
jobrange.205,3,4,140.0,0.3360745906829834,4.0,0.08490848541259766,3,0.05933213233947754,3.0,0.0321958065032959,
jobrange.206,3,4,4523930.000000002,0.830801248550415,458484.00000000006,0.4136950969696045,264297,0.5607728958129883,264297.0,0.0739755630493164,
jobrange.207,3,4,13704.000000000007,0.34337711334228516,264.00000000000017,0.08863973617553711,193,0.08252453804016113,193.0,0.04913830757141113,
jobrange.208,3,4,14364.000000000007,0.32344627380371094,745.0000000000009,0.07990431785583496,447,0.06932950019836426,447.0,0.051434993743896484,
jobrange.209,3,4,39.999999999999986,0.462007999420166,27.999999999999993,0.22823548316955566,21,0.3419680595397949,21.0,0.08666658401489258,
jobrange.210,3,4,32.0,0.34233641624450684,4.0,0.08700251579284668,3,0.05934619903564453,3.0,0.051908254623413086,
jobrange.211,3,4,166.99999999999997,0.39982151985168457,47.00000000000001,0.13867688179016113,43,0.1859116554260254,43.0,0.07637405395507812,
jobrange.212,3,4,4523929.999999991,0.9885852336883545,1690264.0,0.39267492294311523,1500007,0.4237678050994873,1500007.0,0.07455635070800781,
jobrange.213,3,4,931696.8472805476,0.8313136100769043,3913.9999999999995,0.29873228073120117,3365,0.21569418907165527,3365.0,0.07757163047790527,
jobrange.214,3,4,4523929.999999991,0.6771676540374756,91543.00000000001,0.33025479316711426,65851,0.23432016372680664,65851.0,0.055660247802734375,
jobrange.215,3,4,4.0,0.2961738109588623,1.0,0.07510662078857422,1,0.058959007263183594,1.0,0.04861736297607422,
jobrange.216,3,4,16.999999999999996,0.42069554328918457,4.999999999999999,0.14730191230773926,5,0.14969229698181152,5.0,0.05120730400085449,
jobrange.217,3,4,135.0,0.3990778923034668,4.999999999999999,0.1143648624420166,4,0.10110354423522949,4.0,0.04892468452453613,
jobrange.218,3,4,564.0,0.46741175651550293,185.99999999999994,0.15798187255859375,184,0.18366503715515137,184.0,0.07118964195251465,
jobrange.219,3,4,57.99999999999999,0.36446142196655273,1.0,0.08755302429199219,1,0.07605409622192383,1.0,0.058391571044921875,
jobrange.220,3,4,27.205568589275003,0.36625075340270996,1.0,0.09206604957580566,1,0.07313084602355957,1.0,0.0506136417388916,
jobrange.221,3,4,2031352.7124779772,0.687119722366333,376159.54470260796,0.255490779876709,10776,0.2162773609161377,38679.0,0.07970929145812988,
jobrange.222,3,4,5120216.345889117,1.3405067920684814,3940119.9999999977,0.5344114303588867,812834,0.7911369800567627,3818792.0,0.1304917335510254,
jobrange.223,3,4,6787892.380732428,0.4740786552429199,562637.0490884846,0.30458974838256836,27535,0.18262720108032227,164617.0,0.04307079315185547,
jobrange.224,3,4,3910202.1158870254,2.0567102432250977,52850.00000000006,0.7998199462890625,565,0.4705638885498047,5200.0,0.044408321380615234,
jobrange.225,3,4,243332.81497042577,0.4803757667541504,24035.29012994081,0.16428852081298828,501,0.1224527359008789,3862.0,0.06257438659667969,
jobrange.226,3,4,3976827.0607006606,0.6340005397796631,1981247.9999999986,0.3978850841522217,982992,0.4482400417327881,1290133.0,0.0841066837310791,
jobrange.227,3,4,5264.000000000006,0.647611141204834,839.9999999999993,0.2722816467285156,57,0.16425180435180664,840.0,0.03934764862060547,
jobrange.228,3,4,85258.94786778362,0.4560830593109131,180.0,0.16792035102844238,31,0.12954473495483398,60.0,0.035035133361816406,
jobrange.229,3,4,5452052.671423409,0.6559572219848633,2007571.999999998,0.36225461959838867,219317,0.4705383777618408,458671.0,0.09241366386413574,
jobrange.230,3,4,27719.999999999996,0.5588226318359375,1.0,0.2205810546875,1,0.15756750106811523,1.0,0.06027054786682129,
jobrange.231,3,4,14229220.294514637,1.109198808670044,2790689.094504558,0.648144006729126,109332,0.36769890785217285,185394.0,0.05447196960449219,
jobrange.232,3,4,37544276.41620356,2.167755603790283,18761583.999999985,0.8760766983032227,1821894,0.5643711090087891,3895190.0,0.09148263931274414,
jobrange.233,3,4,6637019.539675033,0.651392936706543,305376.3781633539,0.2798736095428467,13684,0.18201565742492676,32822.0,0.0438838005065918,
jobrange.234,3,4,213476.70291839613,0.5985136032104492,1932.0000000000032,0.2225492000579834,77,0.14171528816223145,1512.0,0.04401588439941406,
jobrange.235,3,4,35467.79689547133,0.47433042526245117,359.9999999999998,0.1991591453552246,37,0.1204233169555664,360.0,0.048116445541381836,
jobrange.236,3,4,449972.74557517824,0.46454668045043945,39978.3257845618,0.1859898567199707,1561,0.1148684024810791,3820.0,0.04498171806335449,
jobrange.237,3,4,10451811.437435616,1.0019075870513916,1171681.9553127226,0.5511143207550049,28746,0.30594706535339355,211102.0,0.05307602882385254,
