q,atoms,attrs,lpbound,t_lp,pairs,t_p,lb,t_lb,truth,t_t
joblight.18,3,4,17516.961585289944,7.772205114364624,1242.0000000000007,1.3492255210876465,1224,1.264840841293335,1224,0.06926608085632324
joblight.19,3,4,521051967.2990677,8.162455081939697,215700852.99999976,1.5376691818237305,7092192,1.4556281566619873,114157708,0.5234591960906982
joblight.20,2,3,19775776.039538242,7.497160911560059,4530891.000000002,1.115558385848999,4530891,0.7829279899597168,4530891,0.07396721839904785
joblight.21,2,3,6201652.042897662,7.330725431442261,695209.0,1.0698180198669434,695209,0.7227475643157959,695209,0.06359052658081055
joblight.22,2,3,36237143.00000004,7.761503458023071,21446507.999999974,1.3334081172943115,21446508,1.073695421218872,21446508,0.17543649673461914
joblight.23,3,4,32905404.232307453,2.706104040145874,13352421.000000013,1.1596343517303467,5055294,1.5294103622436523,13351430,0.14426541328430176
joblight.24,3,4,13185221.853558505,1.7381489276885986,4442332.999999996,0.9918389320373535,2681907,1.4982290267944336,4441826,0.12330055236816406
joblight.25,3,4,2216854.1698366227,1.230543613433838,794477.9999999997,0.7342014312744141,741730,1.2394452095031738,794380,0.11448478698730469
joblight.26,3,4,32905404.232307453,2.2792413234710693,13352421.000000013,0.8547501564025879,1762699,0.8298494815826416,4892930,0.13817334175109863
joblight.27,3,4,32905404.232307453,2.0152177810668945,13352421.000000013,0.6965019702911377,472277,0.49448227882385254,1381139,0.07526063919067383
joblight.28,3,4,54443779.416886576,3.3792405128479004,27314856.000000015,1.0018205642700195,2623794,0.9190864562988281,8719065,0.1598501205444336
joblight.29,3,4,54443779.416886576,3.175699472427368,27314856.000000015,0.8750202655792236,945254,0.6340255737304688,2873076,0.07213830947875977
joblight.30,3,4,139581102.43827596,8.504746675491333,80241321.00000001,1.7302343845367432,14500445,1.7469077110290527,56944579,0.2612912654876709
joblight.31,3,4,111932.0454403388,0.5415177345275879,14100.000000000007,0.3332557678222656,7150,0.4503452777862549,7150,0.06164240837097168
joblight.32,3,4,111932.0454403388,1.0108802318572998,14100.000000000007,0.6303040981292725,14097,1.08803391456604,14097,0.031770944595336914
joblight.33,3,4,61407985.13825768,1.4483447074890137,34859098.000000015,0.833512544631958,4269407,1.3004887104034424,31334406,0.11475229263305664
joblight.34,4,5,2814114.988722579,0.7149081230163574,714260.4191309486,0.541574239730835,57334,0.41883039474487305,75440,0.0447392463684082
joblight.35,4,5,4292.540672585363,1.195840835571289,376.00000000000006,0.7354192733764648,72,1.6186416149139404,72,0.020368099212646484
joblight.36,4,5,3126443.943682189,0.9388890266418457,1528172.9999999988,0.6984670162200928,228438,0.8817026615142822,305646,0.07528924942016602
joblight.37,4,5,6634118.345208955,1.2183494567871094,3242971.999999989,0.9399392604827881,802658,0.9113218784332275,1919444,0.07917428016662598
joblight.38,4,5,13918786.460718134,0.8645455837249756,1850162.1900235957,0.5704114437103271,111862,0.3871011734008789,150780,0.05057883262634277
joblight.39,4,5,13918786.4607181,1.055389642715454,5076090.999999995,0.7078654766082764,2522811,0.8698279857635498,3243247,0.08347487449645996
joblight.40,4,5,13918786.4607181,1.1767528057098389,5076090.999999995,0.7734842300415039,793771,1.0768444538116455,1043589,0.07977581024169922
joblight.41,4,5,1548711803.9308596,1.8124589920043945,1370992155.9937198,1.2205801010131836,2327890,1.3995888233184814,512549635,0.5148704051971436
joblight.42,4,5,1548711803.9308596,1.4906895160675049,1370992155.9937198,1.0155456066131592,920093,0.8397395610809326,206759190,0.22467684745788574
joblight.43,4,5,1548711803.9308596,2.160379648208618,1370992155.9937198,1.3417835235595703,3137146,1.6101281642913818,625275480,0.5067918300628662
joblight.44,4,5,104200112.07671243,8.347679853439331,45719376.451316565,1.8766753673553467,1086151,2.4039361476898193,7793185,0.12527728080749512
joblight.45,4,5,12112581.725139886,8.113802194595337,2766523.0,1.7900550365447998,1826936,2.583888292312622,1830778,0.11890125274658203
joblight.46,4,5,68234731.49487954,9.362732172012329,26029579.0,1.7961909770965576,1476490,1.4885051250457764,2935572,0.1209869384765625
joblight.47,4,5,68234731.49487954,9.949649333953857,26029579.0,2.4120702743530273,8456858,3.3863441944122314,16454334,0.2412259578704834
joblight.48,4,5,594138600.6820806,3.56598162651062,544692788.609127,1.4205365180969238,764645,0.9176731109619141,24674417,0.42639851570129395
joblight.49,4,5,594138600.6820806,3.935033082962036,544692788.609127,1.9219729900360107,5385299,2.992825746536255,132294647,0.8604004383087158
joblight.50,4,5,594138600.6820806,3.718510866165161,544692788.609127,1.6868095397949219,2811586,1.8672950267791748,90642593,0.6932837963104248
joblight.51,3,4,521051967.2990677,9.791400671005249,215700852.99999976,1.8026549816131592,6885115,1.297633409500122,151138956,0.6061701774597168
joblight.52,3,4,521051967.2990677,9.677616119384766,215700852.99999976,1.8991568088531494,3207131,1.2395000457763672,84205575,0.4661734104156494
joblight.53,4,5,24627058.35030377,2.7485640048980713,9262524.18996205,1.1853749752044678,155422,1.1768672466278076,314901,0.08205556869506836
joblight.54,4,5,24627058.35030377,2.668025493621826,9262524.18996205,1.1849911212921143,86125,1.151174783706665,291099,0.07420706748962402
joblight.55,4,5,24627058.35030377,3.0293636322021484,9262524.18996205,1.3784384727478027,248335,1.970505952835083,622998,0.10794639587402344
